iter	Passed	Remaining
661	5727	2924
662	5735	2915
663	5744	2906
664	5754	2898
665	5762	2889
666	5770	2880
667	5779	2872
668	5787	2863
669	5795	2854
670	5812	2849
671	5820	2840
672	5828	2831
673	5835	2822
674	5843	2813
675	5851	2804
676	5859	2795
677	5866	2786
678	5874	2777
679	5882	2768
680	5890	2759
681	5898	2750
682	5906	2741
683	5915	2732
684	5922	2723
685	5930	2714
686	5938	2705
687	5946	2696
688	5954	2687
689	5963	2679
690	5971	2670
691	5980	2661
692	5989	2653
693	5998	2644
694	6007	2636
695	6016	2627
696	6024	2619
697	6034	2610
698	6042	2602
699	6051	2593
700	6059	2584
701	6067	2575
702	6076	2567
703	6084	2558
704	6092	2549
705	6100	2540
706	6108	2531
707	6117	2523
708	6125	2513
709	6132	2504
710	6141	2496
711	6149	2487
712	6156	2478
713	6165	2469
714	6173	2460
715	6181	2451
716	6188	2442
717	6200	2435
718	6209	2426
719	6217	2418
720	6226	2409
721	6234	2400
722	6243	2392
723	6252	2383
724	6260	2374
725	6268	2365
726	6276	2357
727	6284	2348
728	6293	2339
729	6302	2331
730	6310	2322
731	6319	2313
732	6327	2304
733	6336	2296
734	6344	2287
735	6352	2278
736	6360	2269
737	6370	2261
738	6378	2252
739	6386	2243
740	6395	2235
741	6402	2226
742	6410	2217
743	6418	2208
744	6426	2199
745	6434	2190
746	6442	2182
747	6450	2173
748	6458	2164
749	6466	2155
750	6475	2146
751	6484	2138
752	6491	2129
753	6499	2120
754	6507	2111
755	6515	2102
756	6523	2093
757	6531	2085
758	6539	2076
759	6547	2067
760	6555	2058
761	6563	2050
762	6571	2041
763	6578	2032
764	6586	2023
765	6594	2014
766	6602	2005
767	6610	1997
768	6618	1988
769	6626	1979
770	6634	1970
771	6643	1961
772	6650	1953
773	6669	1947
774	6676	1938
775	6684	1929
776	6692	1920
777	6700	1911
778	6707	1902
779	6716	1894
780	6724	1885
781	6732	1876
782	6740	1868
783	6749	1859
784	6756	1850
785	6764	1841
786	6772	1833
787	6780	1824
788	6789	1815
789	6797	1806
790	6807	1798
791	6814	1789
792	6823	1781
793	6831	1772
794	6839	1763
795	6847	1754
796	6856	1746
797	6864	1737
798	6872	1728
799	6880	1720
800	6888	1711
801	6897	1702
802	6907	1694
803	6915	1685
804	6924	1677
805	6932	1668
806	6940	1659
807	6949	1651
808	6957	1642
809	6965	1633
810	6974	1625
811	6983	1616
812	6992	1608
813	7000	1599
814	7009	1591
815	7019	1582
816	7027	1574
817	7035	1565
818	7044	1556
819	7053	1548
820	7062	1539
821	7070	1530
822	7077	1522
823	7085	1513
824	7094	1504
825	7103	1496
826	7112	1487
827	7120	1479
828	7130	1470
829	7140	1462
830	7148	1453
831	7157	1445
832	7167	1436
833	7175	1428
834	7184	1419
835	7193	1411
836	7202	1402
837	7210	1393
838	7218	1385
839	7226	1376
840	7235	1367
841	7242	1359
842	7251	1350
843	7260	1342
844	7269	1333
845	7278	1325
846	7287	1316
847	7296	1307
848	7305	1299
849	7314	1290
850	7322	1282
851	7331	1273
852	7340	1265
853	7348	1256
854	7357	1247
855	7364	1238
856	7373	1230
857	7381	1221
858	7389	1212
859	7398	1204
860	7406	1195
861	7414	1187
862	7422	1178
863	7430	1169
864	7439	1161
865	7447	1152
866	7456	1143
867	7467	1135
868	7476	1126
869	7484	1118
870	7493	1109
871	7502	1101
872	7510	1092
873	7518	1083
874	7527	1075
875	7535	1066
876	7543	1057
877	7551	1049
878	7558	1040
879	7566	1031
880	7576	1023
881	7584	1014
882	7593	1006
883	7601	997
884	7609	988
885	7618	980
886	7628	971
887	7636	963
888	7644	954
889	7653	945
890	7661	937
891	7670	928
892	7678	920
893	7686	911
894	7694	902
895	7702	894
896	7711	885
897	7719	876
898	7727	868
899	7736	859
900	7745	851
901	7753	842
902	7762	833
903	7771	825
904	7780	816
905	7789	808
906	7797	799
907	7807	791
908	7814	782
909	7823	773
910	7831	765
911	7840	756
912	7848	747
913	7857	739
914	7867	730
915	7875	722
916	7883	713
917	7892	705
918	7900	696
919	7908	687
920	7917	679
921	7926	670
922	7934	661
923	7942	653
924	7951	644
925	7959	636
926	7968	627
927	7976	618
928	7985	610
929	7993	601
930	8001	593
931	8010	584
932	8018	575
933	8027	567
934	8036	558
935	8046	550
936	8055	541
937	8064	533
938	8072	524
939	8082	515
940	8090	507
941	8098	498
942	8106	489
943	8114	481
944	8122	472
945	8130	464
946	8138	455
947	8146	446
948	8154	438
949	8164	429
950	8176	421
951	8184	412
952	8192	404
953	8200	395
954	8209	386
955	8217	378
956	8225	369
957	8234	361
958	8242	352
959	8250	343
960	8259	335
961	8267	326
962	8274	317
963	8283	309
964	8291	300
965	8300	292
966	8309	283
967	8317	274
968	8326	266
969	8335	257
970	8342	249
971	8350	240
972	8360	231
973	8368	223
974	8376	214
975	8385	206
976	8393	197
977	8401	188
978	8409	180
979	8418	171
980	8426	163
981	8435	154
982	8444	146
983	8452	137
984	8461	128
985	8470	120
986	8479	111
987	8488	103
988	8498	94
989	8510	85
990	8523	77
991	8533	68
992	8542	60
993	8553	51
994	8563	43
995	8573	34
996	8582	25
997	8591	17
998	8601	8
999	8609	0
